customerid,PD,EAD,LGD,Expected_Loss
0,0.0,5221.55,0.9,0.12
1,0.9999,1958.93,0.9,1762.82
2,0.0,3363.01,0.9,0.06
3,0.0,4766.65,0.9,0.05
4,0.0,1345.83,0.9,0.03
5,1e-04,5376.89,0.9,0.4
6,0.0,3634.06,0.9,0.03
7,0.9999,3302.17,0.9,2971.74
8,0.0,2938.33,0.9,0.04
9,0.0018,5396.37,0.9,8.79
10,0.9896,4224.54,0.9,3762.54
11,0.0,5470.06,0.9,0.12
12,0.0002,3440.84,0.9,0.69
13,0.0,4799.6,0.9,0.06
14,1e-04,2909.45,0.9,0.22
15,0.0,3281.57,0.9,0.09
16,1e-04,5579.72,0.9,0.45
17,0.0,4407.47,0.9,0.18
18,0.9999,2761.05,0.9,2484.66
19,0.0,4461.85,0.9,0.07
20,0.0,3477.43,0.9,0.04
21,0.9999,2608.8,0.9,2347.68
22,0.0,5138.92,0.9,0.06
23,0.0,4199.16,0.9,0.03
24,0.0,3334.58,0.9,0.04
25,0.0,3079.55,0.9,0.06
26,1e-04,3040.96,0.9,0.25
27,0.0,2212.89,0.9,0.04
28,0.0,3285.84,0.9,0.09
29,1e-04,3258.51,0.9,0.19
30,0.0,3438.17,0.9,0.04
31,0.0,4929.43,0.9,0.08
32,1.0,3507.9,0.9,3156.97
33,0.0034,5527.94,0.9,16.71
34,0.0,3044.75,0.9,0.04
35,0.0,2979.49,0.9,0.03
36,0.0,1598.12,0.9,0.03
37,0.9999,5691.71,0.9,5122.13
38,1e-04,6122.53,0.9,0.42
39,0.9999,4296.13,0.9,3866.29
40,0.0,5713.47,0.9,0.14
41,0.0,3196.37,0.9,0.03
42,1e-04,5044.11,0.9,0.41
43,0.0,3712.75,0.9,0.05
44,0.9999,3308.44,0.9,2977.43
45,0.0,3056.01,0.9,0.08
46,0.0004,4806.86,0.9,1.58
47,0.0,4392.82,0.9,0.09
48,1e-04,3019.48,0.9,0.16
49,0.0,4470.49,0.9,0.07
50,0.0,4357.31,0.9,0.04
51,0.0,2904.44,0.9,0.04
52,0.0,1888.05,0.9,0.04
53,0.0052,3167.93,0.9,14.77
54,0.0,2647.61,0.9,0.03
55,1e-04,2264.65,0.9,0.11
56,0.0,2673.54,0.9,0.08
57,1.0,3848.51,0.9,3463.52
58,0.9996,4604.74,0.9,4142.51
59,0.0,3372.38,0.9,0.13
60,1e-04,4690.0,0.9,0.27
61,0.0,2813.78,0.9,0.03
62,1e-04,3369.1,0.9,0.26
63,0.0,3179.92,0.9,0.03
64,1e-04,4294.48,0.9,0.2
65,0.0,6148.49,0.9,0.17
66,0.0,5204.22,0.9,0.2
67,0.0,5423.94,0.9,0.09
68,0.0,5259.36,0.9,0.1
69,1.0,3280.27,0.9,2952.1
70,0.0,3691.99,0.9,0.07
71,0.0,2800.32,0.9,0.08
72,0.0,1645.74,0.9,0.03
73,0.0,5137.22,0.9,0.08
74,0.9999,4455.72,0.9,4009.91
75,0.9998,4611.23,0.9,4149.12
76,0.0,2228.16,0.9,0.04
77,0.9999,4477.72,0.9,4029.74
78,0.0,6114.07,0.9,0.14
79,0.0,3682.3,0.9,0.16
80,0.0,2305.03,0.9,0.05
81,0.0,3270.45,0.9,0.05
82,0.0,3157.85,0.9,0.06
83,0.0,6547.71,0.9,0.13
84,0.9999,5227.13,0.9,4704.01
85,0.0,2042.54,0.9,0.06
86,0.0,3509.85,0.9,0.04
87,0.0,4911.32,0.9,0.08
88,1e-04,1875.11,0.9,0.13
89,0.9999,4118.25,0.9,3706.2
90,0.0,7042.3,0.9,0.14
91,1e-04,2722.71,0.9,0.25
92,0.0,4945.34,0.9,0.15
93,0.0,3003.77,0.9,0.09
94,0.9999,3906.63,0.9,3515.75
95,1.0,3840.42,0.9,3456.24
96,0.0,3670.93,0.9,0.04
97,0.0,2038.61,0.9,0.03
98,0.0,2914.25,0.9,0.05
99,0.0,3707.46,0.9,0.07
100,0.9999,4926.74,0.9,4433.76
101,0.0,4408.32,0.9,0.05
102,1.0,5390.87,0.9,4851.56
103,0.0016,6596.2,0.9,9.32
104,0.0,4539.19,0.9,0.06
105,0.0,2313.34,0.9,0.03
106,0.0,3560.65,0.9,0.06
107,0.0,6679.1,0.9,0.18
108,0.0,6064.12,0.9,0.26
109,0.0,3814.16,0.9,0.04
110,0.0,2937.88,0.9,0.04
111,0.0,5227.3,0.9,0.12
112,0.0,4287.43,0.9,0.05
113,0.9998,3772.76,0.9,3394.8
114,0.0,4629.35,0.9,0.06
115,0.0,5466.03,0.9,0.12
116,0.0,4299.36,0.9,0.08
117,0.0,3941.7,0.9,0.04
118,1e-04,3815.9,0.9,0.18
119,0.0,3214.51,0.9,0.03
120,0.9999,5114.17,0.9,4602.24
121,0.0,3878.31,0.9,0.06
122,0.0,2674.33,0.9,0.1
123,0.9999,4429.01,0.9,3985.75
124,0.0,5582.36,0.9,0.24
125,0.9999,6151.28,0.9,5535.82
126,0.0,3290.9,0.9,0.03
127,0.0,5050.12,0.9,0.06
